lat,lon,2010/01/16,2010/02/15,2010/03/16,2010/04/16,2010/05/16,2010/06/16,2010/07/16,2010/08/16,2010/09/16,2010/10/16,2010/11/16,2010/12/16,2011/01/16,2011/02/15,2011/03/16,2011/04/16,2011/05/16,2011/06/16,2011/07/16,2011/08/16,2011/09/16,2011/10/16,2011/11/16,2011/12/16,2012/01/16,2012/02/15,2012/03/16,2012/04/16,2012/05/16,2012/06/16,2012/07/16,2012/08/16,2012/09/16,2012/10/16,2012/11/16,2012/12/16,2013/01/16,2013/02/15,2013/03/16,2013/04/16,2013/05/16,2013/06/16,2013/07/16,2013/08/16,2013/09/16,2013/10/16,2013/11/16,2013/12/16,2014/01/16,2014/02/15,2014/03/16,2014/04/16,2014/05/16,2014/06/16,2014/07/16,2014/08/16,2014/09/16,2014/10/16,2014/11/16,2014/12/16,2015/01/16,2015/02/15,2015/03/16,2015/04/16,2015/05/16,2015/06/16,2015/07/16,2015/08/16,2015/09/16,2015/10/16,2015/11/16,2015/12/16,2016/01/16,2016/02/15,2016/03/16,2016/04/16,2016/05/16
20,70,0.000387651,0.000388914,0.000388719,0.000389755,0.000391767,0.000390203,0.000389191,0.000388353,0.000388514,0.000388661,0.000388888,0.000389415,0.000390946,0.000391193,0.000391506,0.000392127,0.000393773,0.000392121,0.000392705,0.000390741,0.000389875,0.000390396,0.000390956,0.000391472,0.000391259,0.000393004,0.000394562,0.000394181,0.000395338,0.000398926,0.000393701,0.000391932,0.000393152,0.000393309,0.000392756,0.000394492,0.000395181,0.000395604,0.000397148,0.000398302,0.000396109,0.000395723,-9999,0.000394229,0.000395089,0.000394781,0.000395347,0.000396218,0.000398085,0.000396121,0.000397313,0.000397847,0.000398671,0.000399861,0.000400294,0.000397307,0.000396376,0.000396506,0.000396415,0.000398928,0.000399865,0.000399437,0.000401333,0.000398855,0.000399978,0.000397903,0.000398718,0.000396409,0.000399766,0.000398784,0.000398299,0.000400054,0.000401266,0.000403712,0.000402602,0.000408194,-9999
20,72.5,0.000386994,0.000387977,0.000389192,0.000389138,0.000391567,0.000388945,0.00038545,0.000388974,0.000388576,0.000387926,0.000389395,0.000389787,0.000390431,0.000390933,0.000390613,0.00039217,0.00039437,0.000392239,0.000390556,0.000389263,0.000389925,0.000390321,0.000390232,0.000391048,0.000390741,0.000391425,0.000393166,0.000393797,0.000395018,0.000395085,0.000391277,0.000399313,0.000391069,0.000392271,0.000392263,0.000393868,0.000395083,0.000394152,0.000394763,0.000397227,0.000396716,0.000395782,-9999,0.00039413,0.000395609,0.000393341,0.000394411,0.000396573,0.000395643,0.000396308,0.000398361,0.000397621,0.000399522,-9999,-9999,0.000396349,0.000396757,0.000395121,0.000397271,0.000397308,0.000398934,0.000398245,0.000399138,0.000397553,0.000400391,0.000407826,-9999,0.00039732,0.000398747,0.000400215,0.000397247,0.000398099,0.000398741,0.000399219,0.000401035,0.000404958,-9999
20,75,0.000386437,0.000387025,0.000389237,0.000389112,0.000392067,0.000390404,0.000388403,0.000389816,0.000388465,0.000388551,0.000387919,0.000388733,0.000389255,0.000389335,0.000389656,0.000390993,0.000393237,-9999,0.00039038,0.000390401,0.000389234,0.000389928,0.000391012,0.000391378,0.000391119,0.000391393,0.000392584,0.000393083,0.000395022,0.00039561,-9999,0.000392045,0.00039253,0.000392744,0.00039199,0.000393207,0.000393425,0.000393039,0.000394829,0.000395518,0.000395271,-9999,-9999,0.000393879,0.000394728,0.00039339,0.000394169,0.000395615,0.000394326,0.000395617,0.000394717,0.000397223,0.000397977,0.000399726,0.000393818,0.000397266,0.000395824,0.000396294,0.000396368,0.00039694,0.000398069,0.000397849,0.000397371,0.000398201,0.000396685,0.000399944,-9999,0.000395689,0.00039781,0.000397952,0.000397975,0.000398218,0.000399611,0.000399308,0.000401795,0.000407511,0.000405613
22,70,0.000388946,0.000389473,0.000388939,0.000391218,0.000391324,-9999,0.00038951,0.000388394,0.000388943,0.000388299,0.000389175,0.00038997,0.00038992,0.000391363,0.000390514,0.000391351,0.0003942,0.000392314,0.000389247,0.000391184,0.00039017,0.000389995,0.000390354,0.000392463,0.000390002,0.00039215,0.000393491,0.000393439,0.000396208,0.000397849,0.000390543,0.000391046,0.000393069,0.000391831,0.000393395,0.000391833,0.000393261,0.000396404,0.000397576,0.000397472,0.000396529,0.000397082,0.000391055,0.000394471,0.000393639,0.000394286,0.000395605,0.000395655,0.000398591,0.000396208,0.000398262,0.000398225,0.000397634,0.000399242,0.000395282,0.000395515,0.000395918,0.000395415,0.000396203,0.000398897,0.000399311,0.000399613,0.000399293,0.000399573,0.000403291,-9999,0.000399458,0.000399461,0.000398331,0.000399183,0.000397087,0.000399783,0.000401239,0.000402559,0.000402723,0.000405945,0.000405619
22,72.5,0.000386007,0.000388442,0.00038826,0.000389244,0.000390467,0.00039133,0.000389039,0.000388204,0.000389239,0.000388957,0.000388487,0.000390079,0.000389323,0.000390889,0.000389585,0.000390877,0.000393219,-9999,0.000391872,0.000391417,0.000390521,0.000390194,0.000390256,0.000390555,0.000390591,0.000392004,0.0003925,0.000393228,0.000394384,0.000392388,0.000394625,0.000392459,0.000392253,0.000391498,0.000392449,0.000392974,0.000394528,0.00039419,0.000395198,0.000395928,0.000397422,0.000396823,0.000395152,0.000393254,0.000395503,0.000394339,0.000395084,0.000395601,0.000394629,0.000393907,0.000396209,0.000397587,0.000399693,0.000400565,0.000397927,0.000396627,0.000397501,0.000395628,0.000397435,0.000398298,0.000399743,0.000397678,0.000397703,0.000399749,0.000392917,-9999,0.000400754,0.000398423,0.000400018,0.000399079,0.000399016,0.000399942,0.000400256,0.000401806,0.000399967,0.00040288,0.000404027
22,75,0.000387049,0.00038869,0.000389239,0.000389455,0.000391496,0.000391583,0.000391947,0.000389658,0.000389118,0.000388106,0.000388188,0.000389454,0.000388835,0.000389983,0.000389853,0.00039104,0.000392654,0.000390598,-9999,0.000390794,0.000390215,0.000391132,0.000389514,0.000391661,0.000391042,0.000391215,0.000392353,0.000392637,0.000394402,0.00039459,0.000393038,0.000390745,0.000391384,0.000392222,0.000393054,0.000393245,0.000393834,0.00039345,0.000394575,0.000396114,0.000396172,0.000394285,0.000393162,0.000393786,0.00039473,0.000394802,0.00039416,0.000395017,0.000394308,0.000395426,0.000396498,0.000398134,0.000401289,0.000402317,0.000400955,0.000394894,0.000397689,0.000396248,0.000396553,0.000397672,0.000398392,0.000399203,0.000400852,0.000399161,0.000400436,0.000401283,0.00040395,0.000400022,0.000399181,0.000397819,0.000398886,0.000398472,0.000400354,0.000401437,0.000401416,0.000403915,-9999
24,70,0.000388533,0.000390307,0.000388952,0.000390377,0.00039111,0.000392616,0.000388823,0.00039001,0.000389134,0.000389208,0.000388355,0.00039032,0.00038984,0.000390802,0.000391626,0.000391799,0.000392951,0.000392772,0.000390678,0.000390738,0.000390229,0.000390195,0.000389657,0.000390738,0.000389603,0.000392484,0.000393431,0.000393814,0.000393464,0.000393233,0.000395376,0.000391068,0.000392065,0.000392838,0.000392693,0.000392232,0.000395345,0.000396132,0.000396022,0.000397057,0.00039772,0.000397382,0.000395802,0.00039332,0.0003948,0.000394727,0.000396363,0.000397078,0.000396459,0.000395919,0.000397786,0.000399898,0.000399538,0.000397553,0.00039935,0.000398078,0.000396091,0.000395621,0.000396657,0.000399419,0.000398105,0.000400801,0.000401007,0.000397824,0.000400727,0.000402109,-9999,0.000398808,0.000398641,0.000398604,0.00039927,0.00040069,0.000400294,0.000404919,0.000398392,0.000407996,0.000401571
24,72.5,0.00038643,0.000388844,0.0003896,0.000389832,0.000391074,0.000391914,0.000390773,0.000390554,0.000387708,0.00038964,0.000388187,0.000389913,0.000389539,0.000391717,0.000390515,0.000391378,0.000393487,0.000392936,0.000390791,0.000392506,0.000389943,0.00039051,0.000389656,0.000391603,0.000390641,0.000391124,0.000393226,0.000394705,0.000393848,0.00039624,0.000392907,0.000393064,0.000392258,0.00039202,0.00039231,0.000393303,0.000393626,0.000394313,0.000395017,0.000396662,0.00039781,0.000398101,-9999,0.000395218,0.000393671,0.000394471,0.000393795,0.000396224,0.000397238,0.000395162,0.000395443,0.000399149,0.00039882,0.000399626,0.000398303,0.000398141,0.000397145,0.000397067,0.000397248,0.000398022,0.000398006,0.000401233,0.000401134,0.000398694,0.000400715,0.000411672,0.000397468,0.000399801,0.000398956,0.000398389,0.000398393,0.000399439,0.000401745,0.000400628,0.00040222,0.000404423,0.000403435
24,75,0.000388734,0.000388832,0.000389461,0.000389643,0.00039146,0.000391144,0.000389716,0.000388869,0.000388633,0.000388965,0.000388852,0.000389648,0.000388926,0.000391242,0.000390045,0.000392146,0.000393006,-9999,0.00039231,0.000393115,0.000390428,0.000391356,0.000390468,0.000391875,0.000390511,0.000391726,0.000390922,0.000393397,0.000394101,0.000395079,0.000393476,0.000393516,0.000392938,0.000392376,0.000392742,0.000393429,0.000393743,0.000395087,0.000395017,0.000395268,0.000396549,0.000397125,0.000395788,0.000395911,0.000394505,0.000395192,0.000394858,0.000395284,0.000395106,0.000395543,0.000396625,0.000398011,0.000398423,0.000399179,0.00039847,0.00039637,0.000397083,0.000395591,0.000395793,0.000397276,0.000397819,0.000398322,0.000399074,0.000399417,0.000399154,-9999,0.000401568,0.00039955,0.000400066,0.000399426,0.000398768,0.000400218,0.000399837,0.000400934,0.000402855,0.000403484,0.000405426
