Index,lat,lon,Date,OLR_w/m2,co2_conc,avg_temp_kelvin
531,24,75,16/11/2014,303.875,395.793,295.611
532,20,70,16/12/2014,307.0625,398.928,299.265
533,20,72.5,16/12/2014,313.2655,397.308,298.355
534,20,75,16/12/2014,319.6715,396.94,293.022
535,22,70,16/12/2014,312.344,398.897,294.275
536,22,72.5,16/12/2014,314.625,398.298,294.423
537,22,75,16/12/2014,311.75,397.672,292.697
538,24,70,16/12/2014,316.6405,399.419,292.751
539,24,72.5,16/12/2014,319.4375,398.022,292.232
540,24,75,16/12/2014,306.125,397.276,290.015
541,20,70,16/1/2015,303.297,399.865,297.584
542,20,72.5,16/1/2015,310.9845,398.934,296.553
543,20,75,16/1/2015,322.906,398.069,293.382
544,22,70,16/1/2015,310.4375,399.311,293.403
545,22,72.5,16/1/2015,314.3595,399.743,293.955
546,22,75,16/1/2015,315.375,398.392,291.394
547,24,70,16/1/2015,313.375,398.105,291.898
548,24,72.5,16/1/2015,322,398.006,291.653
549,24,75,16/1/2015,308.219,397.819,289.079
550,20,70,15/2/2015,311.4375,399.437,298.24
551,20,72.5,15/2/2015,319.281,398.245,297.523
552,20,75,15/2/2015,334.7655,397.849,297.281
553,22,70,15/2/2015,316.109,399.613,296.844
554,22,72.5,15/2/2015,315.922,397.678,297.502
555,22,75,15/2/2015,319.8905,399.203,296.798
556,24,70,15/2/2015,317.2035,400.801,296.143
557,24,72.5,15/2/2015,326.9685,401.233,296.164
558,24,75,15/2/2015,306.2655,398.322,294.606
559,20,70,16/3/2015,317.8905,401.333,299.042
560,20,72.5,16/3/2015,325.3125,399.138,299.32
561,20,75,16/3/2015,327.328,397.371,298.948
562,22,70,16/3/2015,321.594,399.293,299.691
563,22,72.5,16/3/2015,319.75,397.703,300.699
564,22,75,16/3/2015,313.5785,400.852,299.326
565,24,70,16/3/2015,326.672,401.007,299.894
566,24,72.5,16/3/2015,329.922,401.134,299.585
567,24,75,16/3/2015,299.25,399.074,297.103
568,20,70,16/4/2015,334.25,398.855,300.752
569,20,72.5,16/4/2015,337.3905,397.553,300.999
570,20,75,16/4/2015,340.7345,398.201,303.067
571,22,70,16/4/2015,333.781,399.573,303.809
572,22,72.5,16/4/2015,332.4535,399.749,304.098
573,22,75,16/4/2015,323.531,399.161,304.108
574,24,70,16/4/2015,337.5315,397.824,305.315
575,24,72.5,16/4/2015,341.4215,398.694,304.635
576,24,75,16/4/2015,311.469,399.417,303.269
577,20,70,16/5/2015,349.094,399.978,302.313
578,20,72.5,16/5/2015,346.7655,400.391,302.775
579,20,75,16/5/2015,338.7035,396.685,305.92
580,22,70,16/5/2015,346.422,403.291,305.349
581,22,72.5,16/5/2015,339.7655,392.917,307.094
582,22,75,16/5/2015,318.4685,400.436,307.94
583,24,70,16/5/2015,346.313,400.727,307.159
584,24,72.5,16/5/2015,349.25,400.715,307.707
585,24,75,16/5/2015,308.672,399.154,308.145
586,20,70,16/6/2015,308.922,397.903,302.402
587,20,72.5,16/6/2015,303.0625,407.826,302.421
588,20,75,16/6/2015,298.0315,399.944,301.43
589,22,70,16/6/2015,309.8125,394.6630477,303.644
590,22,72.5,16/6/2015,303.219,394.6630477,303.967
591,22,75,16/6/2015,291.125,401.283,303.187
592,24,70,16/6/2015,318.375,402.109,306.731
593,24,72.5,16/6/2015,308.0155,411.672,305.675
594,24,75,16/6/2015,291.328,394.6630477,303.846
595,20,70,16/7/2015,294.609,398.718,301.363
596,20,72.5,16/7/2015,294.9845,394.6630477,301.354
597,20,75,16/7/2015,295.9375,394.6630477,299.951
598,22,70,16/7/2015,293.453,399.458,301.671
599,22,72.5,16/7/2015,295.7345,400.754,302.123
600,22,75,16/7/2015,286.531,403.95,300.257
601,24,70,16/7/2015,298.4215,394.6630477,304.556
602,24,72.5,16/7/2015,299.7345,397.468,303.07
603,24,75,16/7/2015,288.1095,401.568,300.787
604,20,70,16/8/2015,290.4845,396.409,300.774
605,20,72.5,16/8/2015,284.6095,397.32,300.843
606,20,75,16/8/2015,290.3125,395.689,299.409
607,22,70,16/8/2015,294.594,399.461,300.953
608,22,72.5,16/8/2015,290.8905,398.423,301.504
609,22,75,16/8/2015,282.406,400.022,299.068
610,24,70,16/8/2015,301.656,398.808,302.234
611,24,72.5,16/8/2015,295.672,399.801,300.51
612,24,75,16/8/2015,284.625,399.55,299.049
613,20,70,16/9/2015,306.8435,399.766,301.274
614,20,72.5,16/9/2015,298.938,398.747,301.261
615,20,75,16/9/2015,295.75,397.81,298.743
616,22,70,16/9/2015,309.594,398.331,301.256
617,22,72.5,16/9/2015,303.047,400.018,301.821
618,22,75,16/9/2015,289.75,399.181,298.931
619,24,70,16/9/2015,318.344,398.641,303.183
620,24,72.5,16/9/2015,310.75,398.956,301.462
621,24,75,16/9/2015,291.5785,400.066,298.575
622,20,70,16/10/2015,327.188,398.784,302.835
623,20,72.5,16/10/2015,321.922,400.215,302.479
624,20,75,16/10/2015,314.578,397.952,299.116
625,22,70,16/10/2015,325.969,399.183,302.705
626,22,72.5,16/10/2015,319.8905,399.079,301.97
627,22,75,16/10/2015,303.234,397.819,299.899
628,24,70,16/10/2015,330.156,398.604,303.363
629,24,72.5,16/10/2015,324.7345,398.389,301.745
630,24,75,16/10/2015,301.4065,399.426,299.091
631,20,70,16/11/2015,317.078,398.299,301.813
632,20,72.5,16/11/2015,319.766,397.247,301.307
633,20,75,16/11/2015,317.781,397.975,297.692
634,22,70,16/11/2015,317.4845,397.087,299.889
635,22,72.5,16/11/2015,318.8905,399.016,300
636,22,75,16/11/2015,310.3125,398.886,298.704
637,24,70,16/11/2015,320.328,399.27,298.311
638,24,72.5,16/11/2015,324.5625,398.393,298.377
639,24,75,16/11/2015,304.7345,398.768,296.991
640,20,70,16/12/2015,313.516,400.054,299.532
641,20,72.5,16/12/2015,320.2815,398.099,298.778
642,20,75,16/12/2015,322.8905,398.218,295.976
643,22,70,16/12/2015,315.2815,399.783,294.724
644,22,72.5,16/12/2015,319.203,399.942,295.368
645,22,75,16/12/2015,310.3435,398.472,294.554
646,24,70,16/12/2015,314.25,400.69,292.774
647,24,72.5,16/12/2015,324.1095,399.439,293.706
648,24,75,16/12/2015,304.25,400.218,291.711
649,20,70,16/1/2016,309.7035,401.266,298.042
650,20,72.5,16/1/2016,318.719,398.741,297.028
651,20,75,16/1/2016,330.641,399.611,294.86
652,22,70,16/1/2016,312.5315,401.239,294.631
653,22,72.5,16/1/2016,316.9215,400.256,295.503
654,22,75,16/1/2016,316.219,400.354,294.539
655,24,70,16/1/2016,311.5935,400.294,293.743
656,24,72.5,16/1/2016,323.0625,401.745,293.748
657,24,75,16/1/2016,306.922,399.837,292.278
658,20,70,15/2/2016,320.578,403.712,298.089
659,20,72.5,15/2/2016,326.828,399.219,297.325
660,20,75,15/2/2016,334.531,399.308,298.539
661,22,70,15/2/2016,325.1095,402.559,296.5
662,22,72.5,15/2/2016,320.8125,401.806,297.516
663,22,75,15/2/2016,314.7655,401.437,297.591
664,24,70,15/2/2016,324.0625,404.919,295.549
665,24,72.5,15/2/2016,328.8905,400.628,296.38
666,24,75,15/2/2016,301.328,400.934,294.707
667,20,70,16/3/2016,325.172,402.602,299.4
668,20,72.5,16/3/2016,333.8595,401.035,299.674
669,20,75,16/3/2016,339.9845,401.795,301.913
670,22,70,16/3/2016,324.578,402.723,301.076
671,22,72.5,16/3/2016,323.1405,399.967,302.148
672,22,75,16/3/2016,316.4375,401.416,302.41
673,24,70,16/3/2016,321.75,398.392,301.548
674,24,72.5,16/3/2016,331.1875,402.22,301.466
675,24,75,16/3/2016,300.1095,402.855,300.512
676,20,70,16/4/2016,341.531,408.194,300.634
677,20,72.5,16/4/2016,342.828,404.958,301.34
678,20,75,16/4/2016,344.4375,407.511,305.332
679,22,70,16/4/2016,336.25,405.945,302.832
680,22,72.5,16/4/2016,331.813,402.88,304.645
681,22,75,16/4/2016,319.0935,403.915,305.407
682,24,70,16/4/2016,332.813,407.996,304.098
683,24,72.5,16/4/2016,338.8285,404.423,304.199
684,24,75,16/4/2016,301.9065,403.484,304.391
685,20,70,16/5/2016,344.234,394.6630477,302.226
686,20,72.5,16/5/2016,340.578,394.6630477,302.648
687,20,75,16/5/2016,341.781,405.613,305.79
688,22,70,16/5/2016,340.1405,405.619,305.38
689,22,72.5,16/5/2016,334.516,404.027,306.913
690,22,75,16/5/2016,320.6565,394.6630477,307.408
691,24,70,16/5/2016,340.797,401.571,307.08
692,24,72.5,16/5/2016,339.672,403.435,308.001
693,24,75,16/5/2016,307.797,405.426,307.777
